a art#一(个)；每一(个)
lag #走得慢 #落后
lake #湖
lamb #羔羊，小羊；羔羊肉
lame #跛的；瘸的，残废的
lamp #灯
land #陆地；土地 #上岸
landing #上岸，登陆，着陆
landlady #女房东；女地主
landlord #地主；房东，店主
lane #(乡间)小路；跑道
language #语言，语言课程
lantern #提灯，灯笼
lap #膝部；一圈
large #大的；巨大的
largely #大部分；大量地
laser #激光
last #最后的 #最后
last #持续，持久；耐久
late #迟的 #迟，晚
lately #最近，不久前
later #后来；过一会儿
Latin #拉丁的 #拉丁语
latter #(两者中)后者的
laugh #笑，发笑 #笑
laughter #笑，笑声
launch #发射，投射；发动
laundry #洗衣房，洗衣店
lavatory #盥洗室，厕所
law #法律，法令；法则
lawn #草地，草坪，草场
lawyer #律师；法学家
lay #置放；铺设；设置
layer #层，层次；铺设者
layout #布局，安排，设计
lazy #懒惰的，懒散的
lead #为…带路；领导
lead #铅，铅制品
leader #领袖，领导人；首领
leadership #领导
leading #指导的；最主要的
leaf #叶，叶子
league #同盟，联盟；联合会
leak #漏；泄露 #漏洞
lean #倾斜，屈身；#
leap #跳，跃 #跳跃
learn #学，学习
learned #有学问的；学术上的
learning #学习；学问，知识
least #最少的 #最少
leather #皮革；皮革制品
leave #离去 #离开
lecture #演讲，讲课
left #左边的 #在左边
leg #腿，腿部
legal #法律的；合法的
legend #传说，传奇
leisure #空闲时间；悠闲
lemon #柠檬，柠檬树
lend #把…借给，贷(款)
length #长，长度；一段
lens #透镜，镜片；镜头
less #更少的 #更少地
lessen #减少，减轻；缩小
lesson #功课，课；课程
lest #惟恐，以免
let #允许，让；使
letter #信；证书；字母
level #水平面 #水平的
lever #杆，杠杆；控制杆
liable #易于…的；可能的
liar #说谎的人
liberal #心胸宽大的；慷慨的
liberate #解放；释放
liberation #解放
liberty #自由；释放；许可
librarian #图书馆馆长
library #图书馆；藏书
license #许可；执照 #准许
lick #舔；舔吃
lid #盖子，盖，囊盖
lie #躺，平放；位于
lie #说谎，欺骗 #谎话
lieutenant #陆军中尉；副职官员
life #生命；一生；寿命
lifetime #一生，终身
lift #提起，提高 #电梯
light #光，光线；灯，光源
light #轻的，少量的
lighten #照亮，使明亮
lightly #轻轻地，轻松地
lightning #闪电，闪电放电
like #喜欢；喜爱；希望
like #像，如；像要
likely #可能的 #很可能
likewise #同样地；也，又
limb #肢，臂，翼；树枝
lime #石灰
limit #限度；限制；范围
limitation #限制；限度，局限
limited #有限的
line #线；排；路线；线条
linen #亚麻布；亚麻织物
liner #班船，班机
link #有环连接 #环
lion #狮子；勇猛的人
lip #嘴唇
liquid #液体 #液体的
liquor #酒；溶液，液剂
list #表，目录 #列举
listen #听，留神听；听从
listener #听者，听众之一
liter #升(容量单位)
literary #文学(上)的
literature #文学；文献
little #小的；少；幼小的
live #居住；活 #活的
lively #活泼的；逼真的
liver #肝；肝脏
living #活的 #生活，生计
living-room #起居室
load #装；装满 #负载
loaf #一条面包，一个面包
loan #贷款；暂借 #借出
local #地方的；局部的
locate #探明，找出，查出
location #位置，场所
lock #锁 #锁上，锁住
locomotive #火车头，机车
lodge #暂住，借宿，投宿
log #原木，木料
logic #逻辑，推理；逻辑性
logical #逻辑的；符合逻辑的
lonely #孤独的；荒凉的
long #长的；远的 #长久
long #渴望，极想念
look #看，显得 #看
loop #圈，环，环孔
loose #松的；宽松的
loosen #解开；使松驰
lord #贵族；上帝，基督
lorry #运货汽车，卡车
lose #失去；迷失；输掉
loss #遗失；损失；失败
lot #许多，大量；签，阄
loud #响亮的；吵闹的
loudspeaker #扬声器，喇叭
love #爱，喜欢 #爱
lovely #可爱的；令人愉快的
lover #爱好者；情人；情侣
low #低的，矮的；低下的
lower #较低的 #放下
loyal #忠诚的，忠心的
loyalty #忠诚，忠心
luck #运气；好运，幸运
lucky #幸运的；吉祥的
luggage #行李；皮箱，皮包
lumber #木材；木料；制材
lump #团，块；肿块
lunch #午餐，(美)便餐
lung #肺脏，肺
luxury #奢侈，奢华；奢侈品
machine #机器；机械
mad #发疯的；恼火的
madam #夫人，女士，太太
magazine #杂志，期刊
magic #魔法，巫术；戏法
magnet #磁铁，磁石，磁体
magnetic #磁的，有吸引力的
magnificent #壮丽的；华丽的
maid #女佣，女仆；少女
mail #邮件 #邮寄
main #主要的，最重要的
mainly #主要地，大体上
mainland #大陆
maintain #维持；赡养；维修
maintenance #维持，保持；维修
major #较大的 #专业
majority #多数，大多数
make #使；做，制造
male #男的，雄的 #男子
man #男人；人；人类
manage #管理；设法；对付
management #管理；经营，处理
manager #经理，管理人
mankind #人类
manly #男子气概的，果断的
manner #方式；态度；礼貌
manual #体力的 #手册
manufacture #制造 #制造；产品
manufacturer #制造商；制造厂
many #许多的 #许多人
map #地图；图；天体图
marble #大理石
March #三月
march #行军；游行示威
margin #页边的空白；边缘
marine #海的；海上的
mark #斑点；记号 #标明
market #市场；集市；销路
marriage #结婚，婚姻；婚礼
married #已婚的；婚姻的
marry #娶，嫁 #结婚
marvelous #奇迹般的；了不起的
Marxisim #马克思主义
Marxist #马克思主义的
mask #面具；伪装 #掩饰
mass #众多；团；群众
master #主人；能手；硕士
masterpiece #杰作，名著
mat #席子；草席；垫子
match #比赛，竞赛；对手
match #(一根)火柴
mate #伙伴，同事；配偶
material #材料；素材#物质的
materialism #唯物主义
mathematical #数学的，数学上的
mathematics #数学
maths #(英)数学
matter #事情；物质 #要紧
mature #成熟的 #使成熟
maximum #最大量 #最大的
May #五月
may v#aux#可能；可以，祝
maybe #大概，或许；也许
mayor #市长
me #(宾格)我
meadow #草地，牧草地
meal #膳食，一餐
mean #作…解释；意指
mean #自私的；吝啬的
mean #平均的 #平均值
meaning #意义，意思；意图
means #方法，手段，工具
meantime #其时，其间 #当时
meanwhile #同时，当时
measurable #可测量的
measure #量，测量 #分量
measurement #衡量，测量；尺寸
meat #肉
mechanic #技工，机械，机修工
mechanical #机械的；力学的
mechanically #机械地
mechanics #力学；技术性细节
medal #奖章，勋章，纪念章
medical #医学的；内科的
medicine #内服药；医学
Mediterranean #地中海 #地中海的
medium #媒质；中间#中等的
meet #遇见 #相遇
meeting #聚集，会合，会见
melon #瓜，甜瓜
melt #融化 #使融化
member #成员，会员
memorial #纪念的；记忆的
memory #记忆；回忆；存储
mend #修理，修补，缝补
mental #智力的；精神的
mention #提及，说起
menu #菜单；饭菜，菜肴
merchant #商人；零售商
mercury #水银，汞
Mercury #水星
mercy #仁慈，慈悲，恩惠
mere #仅仅的；纯粹的
merely #仅仅，只不过
merit #长处，优点；功过
merry #欢乐的，愉快的
mess #混乱，混杂，肮脏
message #信息，消息；启示
messenger #送信者，信使
metal #金属，金属制品
meter #计量器，计，表
method #方法，办法；教学法
metre #米，公尺
metric #公制的，米制的
microcomputer #微型计算机，微机
microphone #话筒，麦克风
microscope #显微镜
midday #正午，中午
middle #中部 #中部的
midnight #午夜，子夜，夜半
midst #中部，中间，当中
might v#aux#可能，会，也许
might #力量，威力，能力
mild #和缓的；温柔的
mile #英里
military #军事的；军人的
milk #乳，牛奶 #挤(奶)
mill #磨坊；制造厂
millimetre #毫米
million num#百万 #许多
mind #头脑；理智；记忆
mine #我的
mine #矿，矿山；地雷
miner #矿工
mineral #矿物 #矿物的
minimum #最小量 #最小的
minister #部长，大臣；公使
ministry #(政府的)部
minor #较小的；较次要的
minority #少数；少数民族
minus #负的 #减(去)
minute #分，分钟；一会儿
minute #微细的；详细的
miracle #奇迹，令人惊奇的人
mirror #镜子 #反映，反射
miserable #痛苦的，悲惨的
mislead #使误入岐途
miss #小姐
miss #未看到；惦念
missile #发射物；导弹
missing #缺掉的，失去的
mission #使命，任务；使团
mist #薄雾
mistake #错误 #误解，弄错
Mister #先生
mistress #女主人；夫人
misunderstand #误解，误会，曲解
mix #使混合，混淆
mixture #混合；混合物
moan #呻吟声 #呻吟
mobile #运动的；流动的
mode #方式，样式
model #模型；模式；模特儿
moderate #温和的；有节制的
modern #现代的，近代的
modest #有节制的；谦虚的
modify #更改，修改；修饰
moist #湿润的；多雨的
moisture #潮湿，湿气；温度
molecule #分子，克分子
moment #片刻，瞬间，时刻
Monday #星期一
money #货币；金钱，财富
monitor #班长；监视器
monkey #猴子，猿
month #月，月份
monthly #每月的 #每月
monument #纪念碑；纪念馆
mood #心情，情绪；语气
moon #月球，月亮；卫星
moral #道德的；合乎道德的
more #更多的 #更
moreover #再者，加之，此外
morning #早晨，上午
mortal #终有一死的；致死的
mosquito #蚊子
most #最多的 #最，很
mostly #主要的，大部分
mother #母亲，妈妈
motion #运动；手势；提议
motivate #促动；激励，激发
motive #动机，目的
motor #发动机；机动车
mould #模子，模型 #浇铸
mount #登上，爬上 #…山
mountain #山，山岳；山脉
mourn #哀痛，哀悼
mouse #鼠，耗子
mouth #嘴，口，口腔
mouthful #满口，一口，少量
move #移动；感动 #动
movement #动作，活动；移动
movie #电影；电影院
much #非常，很 #许多的
mud #软泥，泥浆
muddy #多泥的，泥泞的
mug #大杯
multiple #复合的；并联的
multiply #使增加；乘
murder #谋杀，凶杀
murderer #杀人犯，凶手
muscle #肌肉，肌；体力
museum #博物馆；展览馆
mushroom #蘑菇，菌类植物
music #音乐，乐曲，乐谱
musical #音乐的；和谐的
musician #音乐家；作曲家
must v#aux#必须；必然要
mute #缄默的 #哑巴
mutter #轻声低语；抱怨
mutton #羊肉
mutual #相互的；共同的
my #我的
myself #我自己；我亲自
mysterious #神秘的；难以理解的
mystery #神秘；神秘的事物
nail #钉；指甲 #钉
naked #裸体的；无遮敝的
name #名字；名誉 #说出
namely #即，也就是
nap #小睡，打盹，瞌睡
narrow #狭的，狭窄的
nasty #龌龊的；淫猥的
nation #民族；国家
national #民族的；国家的
nationality #国籍；民族，族
native #本土的 #本地人
natural #自然界的；天然的
naturally #自然地；天然地
nature #大自然；本性；性质
naughty #顽皮的，淘气的
naval #海军的，军舰的
navigation #航行；航海术；导航
navy #海军
near #近，接近 #近的
nearby #附近的 #在附近
nearly #差不多；密切地
neat #整洁的；熟练的
necessarily #必然，必定
necessary #必要的；必然的
necessity #必要性；必然性
neck #颈，脖子
necklace #项链，项圈
need #需要 v#aux#需要
needle #针，缝补，编织针
needless #不需要的
negative #否定的；消极的
neglect #忽视，忽略；疏忽
Negro #黑人
neighbour #邻居，邻国，邻人
neighbourhood #邻居关系；邻近
neither #(两者)都不的
nephew #侄子，外甥
nerve #神经；勇敢，胆量
nervous #神经的；易激动的
nest #巢，窝，穴
net #网，网状物；通信网
network #网状物；网络
neutral #中立的；中性的
never #永不，决不；不
nevertheless #然而 #仍然
new #新的；新近出现的
newly #新近，最近
news #新闻，消息
newspaper #报纸，报
next #紧接的；贴近的
nice #美好的，令人愉快的
niece #侄女，外甥女
night #夜，夜间
nine num#九，九个
nineteen num#十九，十九个
ninety num#九十，九十个
ninth num#第九；九分之一
nitrogen #氮
no #不；并不 #没有
noble #贵族的；高尚的
nobody #谁也不；无人
nod #点(头)；点头表示
noise #喧闹声；响声；噪声
noisy #嘈杂的；喧闹的
none #没有人 #毫不
nonsense #胡说，废话
noon #正午，中午
nor #也不；不
normal #正常的，普通的
normally #通常，正常地
north #北，北方 #北方的
northeast #东北 #位于东北的
northern #北方的，北部的
northwest #西北 #位于西北的
nose #鼻子；突出部分
not #不，没有
note #笔记；便条；注释
notebook #笔记本，期票簿
nothing #没有东西 #毫不
notice #注意 #通知；注意
noticeable #显而易见的；重要的
noun #名词
novel #小说 #新的
November #十一月
now #现在；立刻；于是
nowadays #现今，现在
nowhere #任何地方都不
nuclear #原子核的；核心的
nucleus #核，核心；(原子)核
nuisance #讨厌的东西
number #数，数字；号码
numerous #为数众多的；许多
nurse #保姆；护士 #看护
nursery #托儿所；苗圃
nut #坚果，干果；螺母
nylon #尼龙，耐纶
 oak#栎属植物；栎木
 oar#浆，橹
 obey #顺从 #服从
 object #物，物体；目的
 object #反对；抱反感
 objection#反对，异议；不喜欢
 objective#客观的；无偏见的
 oblige #迫使；施恩惠于
 observation#注意；观察；观察力
 observe#遵守；看到；说
 observer #观察员，观测者
 obstacle #障碍，障碍物，妨害
 obtain #获得，得到，买到
 obvious#明显的，显而易见的
 obviously#明显地，显然地
 occasion #场合，时刻；时机
 occasional #偶然的；临时的
 occasionally #偶然；非经常地
 occupation #占领，占据；职业
 occupy #占领；占，占有
 occur#发生；出现，存在
 occurrence #发生，出现；事件
 ocean#海洋；洋
 Oceania#大洋洲
 o'clock#…点钟
 October#十月
 odd#奇数的；单只的
 odour#气味，香气；味道
 of #…的；由于
 off#(离)开；(停)止
 offend #冒犯 #犯过错
 offer#提供；提出 #提供
 office #办公室；处，局，社
 officer#官员；干事；军官
 official #官员的；官方的
 often#经常，常常
 oh int#嗬，哦，唉呀
 oil#油；石油 #加油于
 okay (缩作OK)#对，好
 old#老的；…岁的
 omit #省略，省去；遗漏
 on #在…上；在…旁
 once #一次；曾经 #一次
 onenum#一 #一个人
 oneself#自己；亲自
 onion#洋葱，洋葱头
 only #只，仅仅 #唯一的
 onto #到…上
 open #开的；开放的 #开
 opening#开始的 #开始
 opera#歌剧
 operate#操作；施行手术
 operation#操作；手术；运算
 operational#操作上的；可使用的
 operator #操作人员，接线员
 opinion#意见，看法，主张
 opponent #对手，敌手；对抗者
 opportunity#机会，良机
 oppose #反对；反抗
 opposite #对面的 #对立物
 oppress#压迫，压制；压抑
 optical#眼的；光学的
 optimistic #乐观的；乐观主义的
 option #选择，选择权
 optional #可以任意选择的
 or #或，或者；即
 oral #口头的；口的
 orange #橙(树)；柑(树)
 orbit#运行轨道 #环绕
 orchestra#管弦乐队
 order#次序；整齐 #命令
 orderly#整洁的；有秩序的
 ordinary #平常的；平凡的
 ore#矿，矿石，矿砂
 organ#器官；机构；管风琴
 organic#有机体的；器官的
 organism #生物体；有机体
 organization #组织；团体，机构
 organize #组织，编组
 oriental #东方的；东方国家的
 origin #起源，由来；出身
 original #最初的；新颖的
 ornament #装饰物；装饰
 orphan #孤儿
 other#另外的；其余的
 otherwise#另外；要不然
 oughtv#aux#应当，应该
 ounce#盎司，英两
 our#我们的
 ours #我们的
 ourselves#我们自己
 out#出，在外；现出来
 outcome#结果，后果，成果
 outdoor#户外的，室外的
 outdoors #在户外，在野外
 outer#外部的，外面的
 outlet #出口，出路；排遣
 outline#轮廓；略图；大纲
 outlook#观点，看法；展望
 output #产量；输出量；输出
 outset #开始，开端
 outside#外部；外表#外部的
 outskirt #外边，郊区
 outstanding#突出的，杰出的
 outward#外面的；向外的
 outwards #向外，往海外
 oven #炉，灶；烘箱
 over #在…上方；超过
 overall#工装裤 #全面的
 overcoat #外衣，大衣
 overcome #战胜，克服
 overhead #在头顶上的；架空的
 overlook #眺望；看漏；放任
 overnight#一夜；突然
 overseas #海外 #在海外的
 overtake #追上，赶上；压倒
 overtime #超时的，加班的
 owe#欠；应把…归功于
 owl#猫头鹰，枭
 own#自己的 #有，拥有
 owner#物主，所有人
 ownership#所有(权)，所有制
 ox #牛；公牛，阉牛
 phase#阶段；方面；相位
 phenomenon #现象
 philosopher#哲学家
 philosophy #哲学；哲理；人生观
 phone#电话，电话机；耳机
 photograph #照片，相片
 photographic #摄影的，摄影用的
 phrase #短语；习惯用语
 physical #物质的；物理的
 physician#医生，内科医生
 physicist#物理学家
 physics#物理学
 piano#钢琴
 pick #镐，鹤嘴锄
 pick #拾，摘 #采摘
 picnic #郊游，野餐 #野餐
 picture#画，图片 #画
 pie#(西点)馅饼
 piece#碎片，块 #拼合
 pierce #剌穿 #穿入
 pig#猪，小猪，野猪
 pigeon #鸽子
 pile #堆 #堆叠，累积
 pill #药丸，丸剂
 pillar #柱，柱子；栋梁
 pillow #枕头
 pilot#领航员；飞行员
 pin#针，饰针 #别住
 pinch#捏，拧，掐掉
 pine #松树，松木
 pink #粉红色 #粉红色的
 pint #品脱
 pioneer#拓荒者；先驱者
 pipe #管子，导管；烟斗
 pipeline #管道，管线
 pistol #手枪
 pit#坑，地坑；煤矿
 pitch#沥青
 pitch#投，掷 #投掷
 pity #怜悯；遗憾 #同情
 place#地方，地点；住所
 plain#平原 #清楚的
 plan #计划，打算
 plane#平面；飞机
 planet #行星
 plant#植物；工厂 #栽种
 plantation #种植园；栽植
 plaster#灰泥；硬膏；熟石膏
 plastic#可塑的 #塑料
 plate#板，片，盘 #电镀
 platform #平台；站台；讲台
 play #玩，游戏；演奏
 player #游戏的人；比赛者
 playground #操场，运动场
 pleasant #令人愉快的，舒适的
 please #使高兴，请#满意
 pleasure #愉快，快乐；乐事
 plentiful#丰富的，富裕的
 plenty #丰富，充足，大量
 plot #小块土地 #密谋
 plough #犁 #犁，耕
 pluck#采，摘；拉下 #拉
 plug #塞子；插头 #塞
 plunge #使投入；使陷入
 plural #复数的 #复数
 plus #加，加上 #正的
 P#M# #下午，午后
 pocket #衣袋 #袖珍的
 poem #诗，韵文，诗体文
 poet #诗人
 poetry #诗，诗歌，诗作
 point#点；要点；细目；分
 poison #毒，毒药 #毒害
 poisonous#有毒的，有害的
 pole #杆，柱
 pole #极(点)，磁极，电极
 police #警察；警察当局
 policeman#警察
 policy #政策，方针
 polish #磨光；使优美
 polite #有礼貌的；有教养的
 political#政治的，政治上的
 politician #政治家；政客
 politics #政治，政治学；政纲
 pollute#弄脏，污染，沾污
 pollution#污染
 pond #池塘
 pool #水塘，游泳池，水池
 pool #共用物 #共有
 poor #贫穷的；贫乏的
 pop#流行音乐，流行歌曲
 pop#砰的一声，爆破声
 popular#民众的；流行的
 population #人口；全体居民
 porch#门廊，入口处
 pork #猪肉
 porridge #粥，麦片粥
 port #港，港口
 portable #轻便的；手提的
 porter #搬运工人
 portion#一部分；一分
 portrait #消像，画像
 Portuguese #葡萄牙人；葡萄牙语
 position #位置；职位；姿势
 positive #确定的；积极的
 possess#占用，拥有(财产)
 possession #有，所有；占有物
 possibility#可能；可能的事
 possible #可能的；可能存在的
 possibly #可能地；也许
 post #柱，桩，杆 #贴出
 post #邮政，邮寄；邮件
 post #岗位，哨所；职位
 postage#邮费，邮资
 postman#邮递员
 postpone #延迟，推迟，延缓
 pot#锅，壶，罐，盆
 potato #马铃薯，土豆
 potential#潜在的 #潜力
 pound#磅；英磅
 pound#捣碎；舂烂；猛击
 pour #灌，倒 #倾泻
 poverty#贫穷，贫困
 powder #粉末；药粉；火药
 power#能力；力；权；幂
 powerful #强有力的；有权威的
 practical#实践的；实用的
 practically#实际上；几乎
 practice #实践；练习；业务
 practise #练习，实习，训练
 praise #赞扬，赞美 #赞扬
 pray #请求；祈祷
 prayer #祈祷，祈求
 precaution #预防；警惕
 preceding#在前的；在先的
 precious #珍贵的，宝贵的
 precise#精确的，准确的
 precision#精确，精密，精密度
 predictv#预言，预告，预测
 preface#序言，前言，引语
 prefer #宁可，宁愿
 preferable #更可取的，更好的
 preference #偏爱，优先；优先权
 prejudice#偏见，成见
 preliminary#预备的，初步的
 premier#总理，首相
 preparation#准备，预备；制备
 prepare#准备，预备
 preposition#前置词，介词
 prescribe#命令；处(方)
 presence #出席，到场；在
 present#现在的 #目前
 present#赠送; 介绍; 提出
 present#礼物，赠送物
 presently#一会儿；目前
 preserve #保护；保存；腌渍
 president#总统；校长；会长
 press#压，按，揿；催促
 pressure #压力；压力；压，按
 pretend#假托，借口#假装
 pretty #漂亮的，标致的
 prevail#胜，优胜；流行
 prevent#预防，防止；阻止
 previous #先的；前的 #在前
 previously #先前，预先
 price#价格，价钱；代价
 pride#骄傲；自豪 #自夸
 priest #教士，牧师，神父
 primarily#首先；主要地
 primary#最初的；基本的
 prime#首要的 #春，青春
 primitive#原始的；粗糙的
 prince #王子，亲王
 princess #公主，王妃
 principal#主要的 #负责人
 principle#原则，原理；主义
 print#印刷 #印刷；正片
 prior#在先的；优先的
 prison #监狱，监禁
 prisoner #囚犯
 private#私人的；私下的
 privilege#特权，优惠
 prize#奖赏，奖金 #珍视
 probability#可能性；概率
 probable #或有的；大概的
 probably #或许，大概
 problem#问题；习题，问题
 procedure#程序；手续；过程
 proceed#进行；继续进行
 process#过程；工序 #加工
 procession #队伍，行列
 proclaim #宣告，宣布；表明
 produce#生产；产生；展现
 product#产品，产物；(乘)积
 production #生产；产品；总产量
 productive #生产的；丰饶的
 profession #职业
 professional #职业的 #专业人员
 professor#教授
 profit #益处；利润 #得益
 program#节目单；大纲；程序
 progress #前进，进展；进步
 progressive#进步的；向前进的
 prohibit #禁止，阻止
 project#方案，工程 #伸出
 prominent#实起的；突出的
 promise#诺言；指望 #允诺
 promising#有希望的；有前途的
 promote#促进，发扬；提升
 prompt #及时的 #敦促
 pronoun#代名词
 pronounce#发…的音；宣布
 pronunciation#发音，发音法
 proof#证据；证明；校样
 proper #适合的；合乎体统的
 properly #适当地；彻底地
 property #财产，资产；性质
 proportion #比，比率，部分
 proportional #比例的；相称的
 proposal #提议，建议；求婚
 propose#提议 #求婚
 prospect #展望；前景，前程
 prosperity #繁荣；昌盛，兴旺
 prosperous #繁荣的，昌盛的
 protect#保护，保卫，警戒
 protection #保护，警戒
 protective #保护的，防护的
 protein#蛋白质，朊
 protest#&#抗议
 proud#骄傲的；自豪的
 prove#证明 #结果是
 provide#提供；装备，供给
 provided #以…为条件
 province #省；领域，部门
 provision#供应；预备；存粮
 psychological#心理的，心理学的
 public #公众的 #公众
 publication#公布；出版；出版物
 publish#公布；发表；出版
 pudding#布丁
 puff #(一)喷，(一)吹
 pull #拉，拖；拉，拉力
 pulse#脉搏；脉冲，脉动
 pump #泵 #用抽机抽
 punch#冲出 #冲压机
 punch#用拳猛击 #拳打
 punctual #严守时刻的；准时的
 punish #罚，惩罚，处罚
 punishment #罚，惩罚，处罚
 pupil#学生，小学生
 pupil#瞳孔
 puppet #木偶，玩偶；傀儡
 purchase #买，购买 #买
 pure #纯粹的；纯洁的
 purely #纯粹地，完全地
 purify #使纯净，使洁净
 purity #纯净；纯洁；纯度
 purple #紫色 #紫的
 purpose#目的；意图；效果
 purse#钱包，小钱袋，手袋
 pursue #追赶，追踪；进行
 pursuit#追赶；追求；事务
 push #推，逼迫 #推
 put#放，摆；使处于
 puzzle #难题；谜 #使迷惑
 qualify#使具有资格
 quality#质量；品质，特性
 quantity #量，数量，分量
 quarrel#争吵，吵架，口角
 quart#夸脱(=2品脱)
 quarter#四分之一；一刻钟
 quarterly#季度的 #季度地
 queen#王后；女王
 queer#奇怪的，古怪的
 question #发问；问题；疑问
 queue#行列 #排队等候
 quick#快的；敏捷的
 quicken#加快 #加快
 quickly#快，迅速
 quiet#寂静的；安静的
 quilt#被(子)
 quit #离开，退出；停止
 quite#完全；相当；的确
 quiz #小型考试，测验
 quotation#引用；引文；报价单
 quote#引用，引证；报价
 rabbit #兔子，野兔
 race #比赛，竞赛，竞争
 race #人种，种族，民族
 racial #种族的，人种的
 rack #搁物架；行李架
 rack #使苦痛，折磨
 racket #球拍
 radar#雷达，无线电探测器
 radiate#发射光线；辐射
 radiation#放射，发射；辐射能
 radio#无线电；收音机
 radioactive#放射性的
 radioactivity#放射性，放射(现象)
 radish #小萝卜
 radium #镭
 radius #半径
 rag#破布，碎布，抹布
 rage #(一阵)狂怒，盛怒
 raid #袭击；突然搜查
 rail #横条，横杆；铁轨
 railroad #铁路 #由铁路运输
 railway#铁路，铁道
 rain #雨，雨水 #下雨
 rainbow#虹，彩虹
 rainy#下雨的，多雨的
 raise#举起；引起；提高
 rake #耙子 #耙；搜索
 range#排，行；山脉；范围
 rank #排，横行；社会阶层
 rapid#快的 #急流
 rapidly#迅速地
 rare #稀薄的；稀有的
 rarely #很少，难得
 rat#老鼠，耗子
 rate #比率；速度；价格
 rather #宁可，宁愿；相当
 ratio#比，比率
 rational #理性的；出于理性的
 raw#未煮过的；未加工的
 ray#光线，射线，辐射线
 razor#剃刀
 reach#抵达；伸出#达到
 react#起反应；有影响
 reaction #反应；反作用
 read #读，看懂 #读
 reader #读者；读物，读本
 readily#乐意地；无困难地
 reading#读，阅读；读书
 ready#准备好的；愿意的
 real #真的；现实的
 reality#现实；真实
 realize#实现；认识到
 really #真正地；实在
 realm#王国，国土；领域
 reap #收割，收获
 rear #后部，后面；背面
 rear #抚养，培养；栽种
 reason #理由；理性 #推理
 reasonable #合情合理的；公道的
 rebel#造反 #造反者
 rebellion#造反；叛乱；反抗
 recall #回想；叫回；收回
 receipt#收到；收条，收据
 receive#收到；得到；接待
 receiver #收受者，收件人
 recent #新近的，最近的
 recently #最近，新近
 reception#接待；招待会；接受
 recite #背诵，朗诵
 recognition#认出，识别；承认
 recognize#认识，认出；承认
 recollect#回忆，追忆，想起
 recommend#推荐，介绍；劝告
 recommendation #推荐，介绍；劝告
 record #记录；履历 #记录
 recorder #记录者；录音机
 recover#重新获得；挽回
 recovery #重获；痊愈，恢复
 red#红色的 #红色
 reduce #减少，减小；简化
 reduction#减少，减小，缩减
 reed #芦苇，芦杆，芦丛
 reel #卷轴，卷筒
 refer#使求助于 #谈到
 reference#参考；出处；提及
 refine #精炼，提纯
 reflect#反射；反映；思考
 reflection #反射；映象；反映
 reflexion#反射；映象；反映
 reform #改革，改良
 refresh#使清新#恢复精神
 refreshment#茶点，点心，便餐
 refrigerator #冰箱，冷藏库
 refuge #避难，庇护；庇护者
 refusal#拒绝
 refuse #拒绝 #拒绝
 refute #驳斥，反驳，驳倒
 regard #把…看作；尊敬
 regarding#关于
 regardless #不顾一切地
 region #地区，地带；领域
 register #登记，注册
 regret #懊悔；抱歉 #懊悔
 regular#规则的；整齐的
 regularly#有规律地
 regulate #管理，控制；调整
 regulation #规则，规章；管理
 rehearsal#排练，排演；练习
 reign#君主统治；支配
 rein #缰绳 #驾驭，控制
 reinforce#增援，支援；加强
 reject #拒绝；丢掉；驳回
 rejoice#欣喜，高兴
 relate #叙述；使联系
 relation #关系，联系；家属
 relationship #关系，联系
 relative #有关系的；相对的
 relatively #相对地，比较地
 relativity #相关性；相对性
 relax#使松弛 #松弛
 release#释放；放松；发表
 relevant #有关的，贴切的
 reliability#可#性
 reliable #可#的，可信赖的
 reliance #信任，信赖，信心
 relief #减轻；救济；援救
 relieve#减轻，解除；救济
 religion #宗教；宗教信仰
 religious#宗教的；虔诚的
 reluctant#不愿的，勉强的
 rely #依赖，依#；信赖
 remain #剩下，余留；保持
 remains#残余，余额；废墟
 remark #&#评论，谈论
 remarkable #异常的，非凡的
 remedy #治疗；补救
 remember #记得，想起；记住
 remind #提醒，使想起
 remote #相隔很远的；冷淡的
 removal#移动；迁移；除掉
 remove #移动，搬开；脱掉
 render #表示，给予；使得
 renew#使更新 #更新
 rent #租金，租 #出租
 repair #修理，修补
 repeat #重说，重做 #重复
 repeatedly #重复地；一再
 repent #悔悟，悔改#后悔
 repetition #重复，反复
 replace#把…放回；取代
 reply#回答，答复
 report #报告；汇报
 reporter #记者，通讯员
 represent#描绘；代表；象征
 representative #代表性的 #代表
 reproach #责备，指责
 reproduce#繁殖，生殖
 republic #共和国，共和政体
 republican #共和国的
 reputation #名誉，名声；好名声
 request#&v#请求，要求
 require#需要；要求，命令
 requirement#需要；要求
 rescue #援救，营救
 research #调查，探究
 researcher #调查者；探究者
 resemble #像，类似
 reserve#储备，保留；预定
 reservior#水库；蓄水池
 residence#居住；驻扎；住处
 resident #居住的 #居民
 resign #放弃 #辞职
 resignation#放弃，辞职，反抗
 resist #抵抗，抵制
 resistance #抵抗；抵制；抵抗力
 resistant#抵抗的，反抗的
 resolution #坚决，坚定；决定
 resolve#解决；决心 #决心
 resort #求助，凭借
 resource #资源，物力；办法
 respect#尊敬，尊重
 respectful #恭敬的，尊重的
 respective #各自的，各个的
 respectively #各自地，分别地
 respond#作答；响应
 response #作答，回答；响应
 responsibility #责任，责任心；职责
 responsible#有责任的；尽责的
 rest #休息；安静；静止
 rest #剩余部分；其余的人
